Data;EvapoBHReal;InsolacaoTotal;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;CasosDengue;ChuvasAcumuladas
31/01/2005;62.8;273.2;18.9;36.0;24.5;62.0;1;27.8
28/02/2005;96.0;243.5;114.5;35.1;23.7;61.4;3;68.3
31/03/2005;111.3;207.0;307.3;35.1;23.8;65.2;29;384.3
30/04/2005;86.3;265.0;97.7;33.6;23.6;68.1;99;47.5
31/05/2005;63.0;217.2;28.2;32.6;23.0;70.1;128;20.7
30/06/2005;47.7;170.8;58.4;31.2;22.1;71.1;102;40.1
31/07/2005;15.1;253.5;0.1;32.7;20.9;62.1;71;0.0
31/08/2005;11.3;283.1;0.3;33.4;20.8;59.5;28;2.5
30/09/2005;2.8;300.1;0.0;34.9;21.4;52.4;5;0.0
31/10/2005;11.6;308.6;11.1;36.0;21.4;51.8;1;0.0
30/11/2005;7.5;305.5;0.0;36.6;22.8;47.1;3;0.0
31/12/2005;42.5;290.3;198.8;34.3;22.6;58.5;1;180.1
31/01/2006;62.8;309.8;0.0;36.6;23.4;50.0;2;0.0
28/02/2006;96.0;232.2;202.5;35.6;23.7;64.1;2;168.8
31/03/2006;111.3;270.8;343.9;32.2;22.7;78.9;16;244.1
30/04/2006;86.3;251.0;224.9;31.9;22.6;84.8;18;202.4
31/05/2006;63.7;266.2;148.4;31.4;21.9;78.6;27;128.8
30/06/2006;129.4;228.6;66.3;30.8;20.8;72.3;18;23.4
31/07/2006;136.6;237.1;11.1;32.5;20.8;61.8;14;0.2
31/08/2006;100.2;276.4;0.2;33.4;20.4;56.8;0;0.0
30/09/2006;0.0;313.7;3.0;35.7;21.2;51.6;2;0.0
31/10/2006;11.1;315.7;11.1;36.4;22.3;51.5;1;15.3
30/11/2006;7.1;299.8;7.1;36.6;22.4;54.2;0;1.3
31/12/2006;71.3;313.8;71.3;36.9;23.0;55.2;0;83.2
31/01/2007;8.6;290.5;8.6;36.5;23.0;57.6;0;16.6
28/02/2007;134.0;218.1;358.7;34.1;22.3;73.3;4;264.7
31/03/2007;132.7;274.7;32.7;33.2;21.8;71.1;6;50.1
30/04/2007;88.3;258.0;88.3;34.4;22.3;72.1;22;112.5
31/05/2007;68.8;250.0;68.8;33.5;21.3;70.3;19;43.1
30/06/2007;55.9;221.3;34.0;32.7;21.4;65.9;11;8.3
31/07/2007;37.0;271.9;7.0;33.2;20.2;60.5;27;2.9
31/08/2007;1.1;262.5;1.1;33.0;19.8;56.8;17;1.2
30/09/2007;0.0;285.8;0.0;34.1;20.1;52.7;4;0.0
31/10/2007;0.0;331.5;0.0;35.8;21.1;50.7;4;0.0
30/11/2007;0.0;312.3;0.0;36.7;21.5;51.0;2;0.0
31/12/2007;29.6;277.3;29.6;36.0;22.0;58.0;2;94.8
31/01/2008;33.4;271.2;33.4;36.2;22.4;61.8;4;27.4
29/02/2008;126.6;262.8;126.6;34.7;21.5;68.4;19;227.1
31/03/2008;140.4;248.5;488.2;32.3;20.8;82.5;114;491.6
30/04/2008;133.7;251.3;97.4;31.5;20.8;82.3;211;216.9
31/05/2008;135.4;243.0;189.4;31.4;20.4;79.8;54;187.4
30/06/2008;55.9;221.3;34.0;32.7;21.4;65.9;11;14.0
31/07/2008;0.0;229.0;22.3;31.1;19.1;66.1;2;15.6
31/08/2008;23.1;256.5;0.7;32.8;19.3;61.1;1;2.2
30/09/2008;11.6;298.1;6.0;34.6;19.7;55.9;0;3.7
31/10/2008;1.5;321.5;0.0;36.1;20.7;55.4;0;0.0
30/11/2008;3.0;317.0;2.7;36.8;21.0;55.1;0;0.0
31/12/2008;92.6;303.6;92.6;36.2;21.2;52.6;1;179.8
31/01/2009;91.2;281.1;91.2;35.5;21.1;60.0;0;135.2
28/02/2009;130.9;210.7;167.7;33.0;20.8;75.8;1;109.5
31/03/2009;143.2;284.1;300.1;33.2;20.7;79.8;3;212.3
30/04/2009;0.0;219.4;508.5;32.2;20.5;85.7;1;641.0
31/05/2009;57.3;229.8;64.8;30.2;19.5;60.5;3;299.9
30/06/2009;55.9;221.3;34.0;32.7;21.4;65.9;0;42.1
31/07/2009;14.4;239.9;10.5;32.6;20.8;61.6;0;26.7
31/08/2009;55.4;259.6;32.2;32.5;17.9;65.3;0;31.4
30/09/2009;9.6;294.1;0.0;35.3;18.9;56.9;0;0.0
31/10/2009;8.8;302.9;6.4;36.5;19.5;55.2;0;2.8
30/11/2009;4.8;290.8;4.2;36.7;20.0;55.8;1;5.1
31/12/2009;7.5;245.0;6.3;36.1;20.7;59.3;0;23.5
31/01/2010;130.0;239.5;130.0;33.9;20.0;71.8;0;122.2
